State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
DELAWARE,2008,2059,6068,70,1102,100,2229,215,5895,769,277,138,607,2077,6,5403,2451,171,32,239,8584,873092,6746,132,713,0,202,525,0,42641,916,1184,2942,477,
DISTRICT OF COLUMBIA    ,2008,35,4201,0,0,1,240,32,79,54,0,0,3,4,1,73,2083,31,0,0,200,,104,1,39,0,0,19,0,7297,147,21,74,33,
FLORIDA    ,2008,38218,547648,380,31468,,,61852,159916,,1160,1770,5157,17336,464,109021,33084,9073,882,,90504,18294452,149942,6059,11870,,3452,3446,,1149818,,8966,52740,8092,
GEORGIA,2008,7898,67641,190,6654,867,22373,25421,34697,2540,363,313,3852,6738,319,28467,9391,2091,320,2638,23411,8995191,37402,1848,2958,1912,3402,3287,183,268869,763,3397,11489,4935,
HAWAII,2008,806,24948,31,601,283,771,5812,2022,0,74,102,156,423,31,3467,1185,424,18,47,4894,1145204,4523,421,393,4361,295,117,0,52818,0,937,1319,199,
IDAHO,2008,1212,24484,84,938,735,2442,11850,5514,439,112,102,156,490,1,5802,6494,185,14,622,5922,1435156,7009,21,97,1539,314,225,0,71854,9,1426,1425,625,
ILLINOIS ,2008,4973,24980,75,2894,552,17947,4909,45612,0,2,452,346,330,3604,15889,1317,4514,364,362,26438,12986566,23372,3616,2922,14,965,56,0,172433,11,5172,8711,4117,
INDIANA,2008,5891,54870,217,4475,730,8158,23475,22671,18536,15,262,1443,1978,38,23865,9883,1970,268,1790,20268,6658523,30527,1256,1930,3253,1516,7142,77,220709,36,2775,8351,1921,
IOWA,2008,3668,29057,141,1907,812,6642,14147,8497,12320,94,108,604,1155,13,11349,8846,553,50,870,10399,2765774,13950,129,404,548,237,210,0,116614,28,3307,4230,519,
KANSAS,2008,1976,20426,83,1054,0,3806,13080,6854,329,201,183,556,1427,9,5678,7284,372,47,261,11483,1895788,7187,227,285,1348,325,307,0,80352,0,2020,2491,731,
KENTUCKY,2008,1131,6169,62,1220,8,694,2363,7952,3487,5,33,573,260,11,5268,97,150,55,589,2552,4660796,6700,539,598,23,21,652,0,35973,383,467,1817,611,
LOUISIANA,2008,7780,35613,170,3840,493,12180,7977,17959,2970,300,238,528,1794,83,14812,6845,920,183,1186,15893,4471978,19742,412,1035,450,596,1328,87,140519,355,2744,9236,1748,
MAINE,2008,471,17541,63,1352,64,1886,7270,5778,43,51,72,311,886,4,6580,4782,330,8,93,6849,1314189,8325,26,184,102,275,189,0,57060,2,1492,735,356,
MARYLAND,2008,7847,104757,565,7411,236,7431,23714,57288,12,433,404,1093,2368,283,26879,6820,3292,307,2220,29510,5574256,38147,1337,4443,637,1343,241,591,300165,160,4215,13001,4328,
MASSACHUSETTS,2008,10022,33868,133,3725,13,8337,12941,19825,6021,155,310,623,1518,35,13906,4214,707,77,1295,21337,6819911,18471,1229,2065,293,696,1337,28,149582,19,3448,12474,1405,
MICHIGAN,2008,9190,80678,300,6251,802,9247,35534,31775,343,1176,578,915,5800,136,25696,20242,2919,142,2610,26868,9664761,35166,761,2488,1200,962,1851,0,276904,254,3569,12398,4617,
MINNESOTA ,2008,4109,36381,190,3388,3882,14227,29832,18196,0,39,106,1605,3481,14,24188,27458,1479,111,856,18243,5074064,29245,1338,1286,3479,1524,1692,0,204367,360,4634,5612,2269,
MISSISSIPPI,2008,1074,34431,101,2248,500,7233,11629,11741,6272,715,165,883,1895,227,8275,2269,485,135,3606,10244,2308021,11109,119,572,288,412,715,32,108280,75,936,1946,1003,
